what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Oracle Corporation",1425571319091
java.version,sysinfo,,,"1.7.0_67",1425571319091
java.vm.info,sysinfo,,,"mixed mode, sharing",1425571319091
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1425571319091
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1425571319091
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1425571319091
java.vm.specification.version,sysinfo,,,"1.7",1425571319091
java.vm.vendor,sysinfo,,,"Oracle Corporation",1425571319091
java.vm.version,sysinfo,,,"24.65-b04",1425571319091
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1425571319123
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1425571321765
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1425571321765
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1425571322343
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1425571322765
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1425571322781
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1425571323438
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425571479040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425571481977
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425571483930
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1425571486076
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1425571494279
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1425571494994
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1425571508369
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1425571508375
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1425571509246
