what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585058972
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585069715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585081894
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425585090623
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585090708
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585106350
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425585114474
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425585202791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585226638
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585240647
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585251083
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585307862
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585310831
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1425585311284
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1425585312893
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585315081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585315987
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585373725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585375100
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1425585375194
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1425585376553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585380663
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585389680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585432997
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585435293
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1425585435465
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1425585436418
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585439325
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585443235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585445110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585447236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585453314
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585454599
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585455630
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585463193
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585468568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585484163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585486397
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585490694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585498319
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585499725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585502163
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585503350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1425585504006
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1425585505256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585510240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585515722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585524555
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585544524
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585581124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1425585582920
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1425585583717
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585587702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585621538
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585623147
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1425585623256
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1425585624225
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585629193
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585630807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585674752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585688768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585697160
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1425585707775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585710087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585722275
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1425585723509
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585797580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585843183
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1425585844902
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1425585845480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1425585845996
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1425585850183
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1425585851074
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1425585853339
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425585857027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425585872168
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425586048513
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425586094789
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425586098273
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425586101867
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425586121926
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425586139536
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425586141254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425586141833
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425586154886
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1425586185297
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425586221649
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425586256065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425586260885
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425586298621
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425586300496
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425586302105
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1425586302214
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1425586303214
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425586308885
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425586309979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1425586311565
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1425586312674
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1425586313413
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1425586314006
