what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1430253964112
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1430253964127
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1430253964188
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1430253964191
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1430253964269
os,sysinfo,,,"win32",1430253964383
arch,sysinfo,,,"x86",1430253964383
ws,sysinfo,,,"win32",1430253964383
locale,sysinfo,,,"ru_RU",1430253964383
processors,sysinfo,,,"2",1430253964383
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1430253964383
java.runtime.version,sysinfo,,,"1.7.0_67-b01",1430253964383
java.specification.name,sysinfo,,,"Java Platform API Specification",1430253964384
java.specification.vendor,sysinfo,,,"Oracle Corporation",1430253964384
java.specification.version,sysinfo,,,"1.7",1430253964384
java.vendor,sysinfo,,,"Oracle Corporation",1430253964384
java.version,sysinfo,,,"1.7.0_67",1430253964384
java.vm.info,sysinfo,,,"mixed mode, sharing",1430253964384
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1430253964384
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1430253964384
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1430253964384
java.vm.specification.version,sysinfo,,,"1.7",1430253964384
java.vm.vendor,sysinfo,,,"Oracle Corporation",1430253964384
java.vm.version,sysinfo,,,"24.65-b04",1430253964384
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1430253964435
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1430253964993
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1430253965783
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1430253966141
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1430253967018
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430253996516
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1430253999307
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1430254000698
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1430254001432
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1430254001823
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1430254001995
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430254015385
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430254077767
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1430254079517
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430254088587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430254102152
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1430254105527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430254115480
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1430254133891
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1430254134219
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430254138532
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1430254139797
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1430254140594
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1430254154688
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1430254155125
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1430254155282
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1430254157032
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1430254164265
