what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425679148184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425679148434
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425679149485
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425679150657
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425679166591
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425679168169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425679170388
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425679175154
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1425679182482
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1425679187294
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1425679187607
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1425679187794
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1425679187982
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1425679188154
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1425679188248
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1425679188248
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1425679188248
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1425679188451
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1425679188623
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1425679188748
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1425679188748
