what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977339257
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1425977342601
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977370674
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977438236
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1425977438306
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977442533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977447111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1425977454033
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977454658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977464550
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977467550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977516200
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977579336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977591166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977718456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977721081
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425977725534
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977744237
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977746424
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1425977751018
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977808567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977810129
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425977813879
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1425977826645
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977871694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977872709
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425977874100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977878913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977880694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977906968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977915609
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1425977915671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977920812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977927767
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425977995442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978004036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978007973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978156245
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978161651
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978167151
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978168901
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1425978168979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1425978169932
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978172840
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978220287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978243818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978244833
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978339558
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978357937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978376328
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425978378312
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1425978380718
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425978385656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978532203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978560703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978584609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978595265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1425978601140
